Sno,review,vader_compound,vader_neg,vader_new,vader_pos,Vader_Sentiment,Company
10,"The service center here is TERRIBLE. I had a tire that needed to be patched and the target time of 10:30am passed with zero updates. I tried texting back, calling, emailing, logging onto the website to chat per the instructions on their voicemail (there was no chat function available) and it was a black hole with no one picking up the phone. I finally called Sales and was simply transferred to the number that NO ONE was picking up over the course of 3 hours. The second time I called Sales and explained the issue they walked over to talk to someone in Service and I finally got a call back saying my car would be ready at 2pm at the latest. I showed up at 2:30pm and my car was. not. ready. I raised the issue when I was there and they simply said the text service must be down. Yeah, I know because I told my service rep that I had texted him back and he said he didn't get it and said the same thing but what are you going to do to fix/escalate it?? Nothing was done about it. Service was a sh*t show, DON'T COME HERE. On top of this, they changed the service that was agreed without telling me, and only informed me when I paid. Four days later and Corporate still hasn't responded to my original messages. Extremely disappointed in Tesla. Made me realize that you are paying $$$ money without the equivalent service you would expect from any other established dealership and questioning whether I should be a Tesla owner. If you have a similar issue, I was informed that you can file with the Bureau of Automotive Repair bar.ca.gov/Consumer/Auto…. Maybe this will encourage Tesla to get their act together.",0.6234,0.047,0.89,0.064,Positive,Tesla
11,"Finally my model x is ready after three month wait and I was under the assumption that since I ordered the car in the Corte Madera showroom, I would be picking it up there, but I was told I have to either go to the Van Ness showroom or Fremont. Then I asked if I can have a ride from Marin to the showroom and was told I need to get there with my own transportation. I asked my friend to drive me and called on my way to see where we should park since my friend wanted to go in with me and check out the car, this time I was told to find my own parking on the street or just park at the amc theater. Pick up experience is ok, a bit rushed but seems like they just want to get you out of the door as soon as possible. Not very well organized... and they always answer my questions with it will take 24 hours to work or just call customer service and they will help you with that. Lastly before we left, I asked if they have any key chain to give me and was told they are out of it and have no idea when they will be getting it. Didn't even offer to send me one when they have it back in stock. I am not sure this is the way they doing business all across the country but if I am buying a 100k plus car they should at least try to provide some basic amenities like a pick up service and at least a free key chain or two. When I bought my s class two years ago, they delivered my car via tow truck to my house and throw in many free items like rubber floor mats, key chains and license plate frames. Not impressed at all, hope they will improve.",0.9876,0.033,0.836,0.131,Positive,Tesla
12,"I've always had great service here and the staff are all very friendly.  My tire pressure was low in one tire and I drove in without an appt- they took me right in without any question. They have a nice waiting area with lots of seating, a few tables, water and coffee. They also have a little kids area for them to play. When you get service, ask for a loaner car. You may or may not get a replacement Tesla, but at least you'll get a car :) They also have security here making sure no one can just walk in to use the restrooms if they are not a customer. Great service.",0.7938,0.084,0.767,0.149,Positive,Tesla
13,"Scheduled a service appointment a month in advanced for my Model S' broken door handle and general maintenance. A week leading up to the scheduled appointment, the back triangular window got broken into and I added that into the notes on the Tesla portal in case that the shop takes more than a week to fix (I actually had it fixed at a local shop in less than a day). I later received a text from Tesla saying my appointment had been canceled because they don't service cars with broken windows. No one even bothered to double-check with me.TLDR; Be very careful about what notes you enter for your appointment. They are trigger-happy and will cancel your appointment without verifying anything with you.Not a 1-star review because the Jeremy, the Tesla rep. whom I was voicing this concern to did an excellent job trying to resolve the issue. Also, their car pick-up experience was pretty nice, with the bow and everything.",0.101,0.093,0.812,0.095,Neutral,Tesla
14,"My experience with Tesla has kind of stunk. This review isn't regarding the actual cars (which still seem cool to me) but my experience with the dealership and Tesla as an overall organization. There's just been endless chaos and frustration since I decided to get my car. Deliveries getting cancelled on multiple occasions, miscommunications (I'm going to assume the best and say that people aren't outright lying to me). The most egregious thing is that it's been incredibly difficult to get a hold of anyone. I'll talk to someone on Monday and by Wednesday, that person's number has changed or their voicemail is full and there's essentially no way to get a hold of them. I've spent hours (that's not an exaggeration) on hold with customer service, only to be promised a call back from a manager that doesn't happen. Anyways, you get the point. Dealing with Tesla stinks right now. Maybe it's just a logistical hell they're going through and only temporary. Who knows, but unless you're desperate to get an electric car right now, I would recommend holding off or at least going through another dealer.",-0.9315,0.147,0.765,0.088,Negative,Tesla
15,"While I do enjoy my Tesla, the customer service is non-existent. I have written them three times this month and they say they will get back to you within 24-48 hours. Well the first e-mail was a month ago and the last 10 days ago and still no response. I have had trouble getting help in the past and my feeling now is perhaps I should have waited for a more established company to come out with a comparable car as it is apparent that Tesla and Elan Musk have no clue about customer service. I expected much better. I'm writing this after hearing the same complaint from other Tesla owners. Much improvement is needed.",0.7269,0.076,0.797,0.127,Positive,Tesla
16,"I went in for a model 3 test drive, I was told after arrival that you need to be over 21 years of age to test drive a vehicle. I did not know this & this information is not on the Tesla website. I ended up choosing to go on a ride along in a Model 3 performance, with Varsha as the driver. Varsha was amazing! She helped me understand so much about the car & the technology inside the vehicle. Overall I guess I'll have to wait a few years to test drive a Tesla.",0.6239,0,0.951,0.049,Positive,Tesla
17,This location is my favorite!  I've been here twice now for service and the customer service is fantastic. Everyone is super friendly and relatable. Where we use to go in SoCal they always seemed super entitled and semi rude. Quite frankly that's kind of what I was expecting here but it was totally the opposite. Thanks for always taking great care of me Tesla SF. And a special shout out to the super pretty girl in service with the tattoos for laughing at my jokes!,0.9926,0.017,0.583,0.4,Positive,Tesla
18,"They don't honor what they say. I had a flat, called roadside but since it is driveable, they advised to stop by service and get it serviced ""while you wait"". Just to make sure, I called in and spoke with someone that I will drop by and that it will be serviced while I wait. I left work and once there I was told they are too busy and can't service the vehicle! They added that I can come back between 3-5pm or buy the tire from the tire shop across the street! Wow, that is an a-class service for a $100k+ vehicle! From service experience in both San Francisco and Burlingame over the past two years, I came to conclude that I made a terrible mistake buying a Tesla. Next year, I will be buying anything else but Tesla. Time is valuable, respect is important, and service is paramount and they consistently exhibits disregard to all!!",0.6862,0.102,0.781,0.117,Positive,Tesla
19,Horrible service. Felt swindled. No customer care. They didn't know what is covered or not covered under warranty. Had to call online to get my concerns voiced. ROBERT was my service advisor and he was not helpful at all.,-0.5903,0.174,0.757,0.069,Negative,Tesla
20,"You need to do yourself a favor and use Chris at BuySide Auto for your next auto / truck purchase.  This was our first experience using a car broker, and will now be our go-to in the future.  Chris' communication was prompt, informative and direct and his fee is nominal, especially considering the time and hassle you save.  What a relief not spending hours at the dealership haggling over price. He's going to get you the best price, as he works with the dealerships directly and has established relationships with them.  He's been doing this for 15 years (I think?) and his professionalism shows this. This is starting to sound like a commercial, but I can not say enough positive things about this experience as well as Chris.  If you value your time and peace of mind, this is your auto broker.   I never post reviews, but just had to for this.",0.9163,0.024,0.852,0.124,Positive,Buy Side Auto
21,Easy - Fast - Awesome- Great - Out Standing - Are you serious. We are overly happy about this place. They really do care! Thanks again.,0.9699,0.034,0.394,0.571,Positive,Buy Side Auto
22,BuySide Auto is a great establishment and they go out of their way to help a customer. I had some questions while in the market for leasing a Mercedes and he helped all the way . Chris has great customer service and he will make sure you get the best deal in the area . He's very upfront and honest! It's hard to find people like that nowadays.They have also the most reasonable rates for their outstanding service.I would highly recommend this auto broker for your future auto shopping  needs .,0.9836,0.013,0.698,0.288,Positive,Buy Side Auto
23,"I've worked with other car brokers, but Chris and BuySide has, by far, been the best experience.  BuySide's search engine is an incredible shopping & research tool, and Chris was responsive, clear in explaining the financing process and handled my trade-in.  BuySide is a billion times better than going to a dealer, and way less stressful.  Got into the car I wanted, spot on with my budget, and in a short time (2.5 days).  Thanks, Chris!",0.9547,0.045,0.727,0.229,Positive,Buy Side Auto
24,"I was really dreading leasing a new car because I really dislike dealing with car salespeople. Car dealerships feel like a maze of smoke and mirrors, bait and switches, mixed messages. I just can't with them!!! I decided I'd look on Yelp to see which dealership gets the best reviews and just lease a car from them. Not surprisingly, all car dealerships had lousy reviews! That's when I happened upon Buyside Auto. 5 stars across the board. I was like ""what is this company?!?!"" After exploring their website, I had my new car delivered to my home within a couple days! lol! It was like a dream come true to sidestep the dealership. Buyside Auto is like having your own agent. And they are succinct, efficient and skillful. They get you the best deals, they do all the legwork, and then they deliver the car to you! I will NEVER deal directly with a dealership again. I will always use Buyside Auto.",0.9542,0.069,0.757,0.174,Positive,Buy Side Auto
25,"I got my 2019 Audi A5 Sportback from Buyside Auto. It was a very professional and transparent process from searching for cars via their website, to talking with Kim on the phone as she went to search and finally to document signing with Chris at SF. I talked to Kim on a Friday and picked up the car from Chris on Monday! I got a GREAT deal and am a very happy new car owner!",0.8862,0,0.875,0.125,Positive,Buy Side Auto
26,"Our lease was up and we were dreading having to go through the whole process of leasing a new car. Our good friend recommended BuySide to help us with the process. We first began our conversations with Chris at Buyside with a narrowed list of 2-3 SUVS, along with a price point per month we were open to paying. Chris patiently walked us through each make and model and the pros and cons of each. After the initial discussion, Chris was available and involved and answered all of our questions or concerns promptly. Finally, we narrowed it down to 1 make and model, but with different features. Again, Chris walked us through the pros and cons of each featured model. Today, we're happy to report we've had our new SUV for a month and we couldn't be happier!",0.6983,0.041,0.872,0.087,Positive,Buy Side Auto
27,"Buying our car from BuySide Auto was the easiest, fastest, and most pleasant experience we've had EVER!!!  This is the first time we've purchased a car online, and we didn't know what to expect. In the past, we would literally spend half the day at the dealership to test drive, negotiate, and sign paperwork. With BuySide Auto, the entire car-buying process has been streamlined. We spent some time researching what SUV we wanted to get. Once we narrowed it down to 2 brands (BMW & Acura), we reached out to Kim Hoang at BuySide. She helped us every step of the way. She answered all of our questions and went over the deal sheets carefully. It's obvious that she is knowledgeable! Unlike the sales people at car dealerships, Kim is not pushy, very patient, most of all, honest. When we finally decided on what car to buy, we filled out the credit application online. And in a matter of 2 days, our 2019 Acura RDX was delivered to our door by Chris. 2 days!!! It was so easy. It's important to note that Chris didn't just deliver the car; he also took the time to show us how the car works. If you want a hassle-free experience and impeccable service, look no further. BuySide Auto will help you find the exact car you want at the best price. You won't be disappointed!",0.9837,0.009,0.841,0.15,Positive,Buy Side Auto
28,"Buying or leasing a car through BuySide Auto was such a stark contrast to the abysmal buying experience at a a dealership. But not only was it light years better, in contrast, it was fantastic in its own right! It was fast, easy, provided the information I needed at my fingertips, and where I had questions, my rep was friendly and helpful!",0.9725,0,0.707,0.293,Positive,Buy Side Auto
29,"This review is about my experience while trying to sell my car.Pros:- The website is pretty straightforward with the ability to upload pictures of your car.- Chris is responsive.Cons:- The offer that I got was way lesser than CarMax and Autonation! Yes, lesser than the dealership too! So do shop around at other places, especially CarMax.- The website says you'll get an offer within 3 hours. But that's incorrect. I got an offer after ~1.5 days. Chris said the website needs to be updated.",0.6351,0,0.927,0.073,Positive,Buy Side Auto
30,"Steve Harvey: Name one thing Americans loathe.Me: CAR DEALERS!Steve Harvey: Survey says....BING #1Have you ever done your internet research and decide to purchase a new car? Then come to the realization that you have to put on some MMA gear to go spar with the liars at the car dealerships? Well, that's what almost happened to me. Until I found Roadster - a car broker that allows you to purchase your new car online. That's right folks. As Vince Vaughn would say ""On the line."" Welcome to 2017.Roadster's website is fantastic. User interface is simple and gets right to the point. Pick out your make, model, and options, and it gives you an estimate of your total cost. Cash, finance, lease. Doesn't matter. A broker is a must if you have a particular set of options and want no more, no less. Like me. I ""needed"" a new Honda Accord. But I only wanted the Sport model, and only in white pearl, AND only with a manual transmission. I did my own homework - there were only 2 in the entire state of CA. One in Norcal, the other in SoCal. Did Roadster pull it off? You bet they did.Roadster partners with thousands of dealers, but they can't have relationships with each one. So, if the car you want is not in their network, they go to bat for you and do some sort of underground car dealer trading that we're not privy to. Which is what happened in my case. Try that solo.My experience - Monday night, I go to Roadster's website, pick out my car with only the options I want. Tuesday morning, I start getting emails from Kim explaining the process. I put down $100 of the $295 broker fee. I complete info for credit app. Tuesday afternoon - they start the search. Find one of two. They start pleading and begging (sort of) on my behalf with their partners/dealers. Wednesday - they continue to broker my transaction, and come to terms. Some kind of barter takes place. Thursday - the exact car I selected online gets driven from San Jose up to my neighborhood dealer in the Tri-Valley and gets prepped. I get an email from Kim saying to expect deliver in the afternoon. Thursday 3pm, Mike drives a white Accord sport stick shift into my driveway. Goes over the car. We sit down. He presents lease docs. And 10 minutes later. D-U-N done.  I last leased a truck about 2 years ago, and I'm not ishing you...spent about 8 hours there over the span of 2 days just negotiating. With two little girls, mind you. I swear, it's like Congress trying to pass a budget.Wow. $295 extra is 100% worth it. The only time I went to a dealer was to sit in a preowned one. That's another story for another day.Because of my particular situation, there were a few hiccups. But Kim made everything right. And that's all that matters. Good work Roadster team! You'll be hearing from me again next year.",0.9518,0.016,0.929,0.055,Positive,Buy Side Auto
31,"Have you ever walked out of a dealership after buying or leasing a car and felt you got hosed? It's because you probably did, to be expected when going up against the teams of professional negotiators/shysters found at most auto dealerships.But there's a better way, and it's called Roadster. We worked with Mark Hugret and he was fantastic. Mark negotiated great lease pricing for us and promptly presented us with the results, and we never had to leave home!",0.9009,0,0.857,0.143,Positive,Buy Side Auto
32,"I found out about Roadster by chance during the last stretch of my exhausting car research routine. I planned on going to a dealership the following week. End result, within 1 week (last week) I took delivery of my new 2017 Audi A4 Premium Plus Quattro! And as of a few hours ago, I said good riddance to my current lease with a buyout for the exact payoff amount from Roadster. In all seriousness, Roadster honestly takes the crap factor out of the whole car buying experience. I'm happy that I found them when I did because I was able to appreciate what was presented to me. This was a lease, so the math can be tricky so as long as you do your homework, you can tell if your getting a good deal or not. I was able to confirm the exact breakdown of the lease before committing to anything. Knowing the mf and residual for an exact model is critical. So do your homework. After researching the legitimacy of the company, I started the process online. Less than 24 hrs later, I got a call and it was history from there.  I can't stress enough about how freaking convenient it was using a broker / car buying service to do the dirty work for you. My wife almost passed out when she heard she didn't have to go into a dealership. I saved roughly 10% off MSRP and with Audi that's pretty good. Coupled with not having to spar with the salesman and his ""manager"", it's priceless. I do want to say thank you to both Mark (who took care of the purchase) and Jay (who handled the trade in). They were there throughout the entire process and made me feel as if I was their only client. You guys rock. Everybody, use them!",0.9658,0.051,0.831,0.119,Positive,Buy Side Auto
33,"Mark Hugret helped my wife lease a new Jeep Grand Cherokee, he also assisted us with getting rid of our previously leased Jeep Grand Cherokee. He found my wife the exact model with the exact features she requested and it was delivered to our home! I haven't had the pleasure of meeting Mark Hugret in person, but if I did, I'd probably kiss him!So, a quick recap... We got rid of a leased car, got a new leased car, we never left our house, and the only person we dealt with in person was the young fellow that delivered and/or took our cars. If you live in California and you don't contact Mark Hugret and Roadster to buy, lease, or sell your next car you are stupid and you should reconsider your life choices!",0.2446,0.048,0.89,0.062,Neutral,Buy Side Auto
34,"I discovered Roadster (now BuySideAuto) through RealCarTips.com after Googling car buying advice. RealCarTips is a trusted step-by-step resource to negotiate new car prices with dealerships, so for them to recommend BuySideAuto is already a big plus. Once you narrow down the vehicle of your choice, go to BuySideAuto's website to get an immediate express price. Their web interface is very user friendly and I often find myself checking real car prices just out of curiosity, as no sign up is required and even when you sign up, they don't spam or push/annoy you. I was specifically interested in a 2018 white Honda Accord Hybrid Base, and wouldn't settle for any other colors, trims, or options. This hybrid model was just released in April 2018, and dealerships were barely getting any stock, but somehow BuySideAuto was able to secure one for me in mid-May 2018 at near dealership invoice price (which RealCarTips always tries to push you to reach), not the MSRP/sticker price! And to put that into perspective, my out-the-door (after taxes/fees) cost was almost the sticker price!When I tried searching all the local Bay Area Honda dealerships, no one would barely consider any haggling on the price because the vehicle was so new. I checked to see if there would be any new Honda holiday incentives because Memorial Day was coming up, but nope, no manufacturer rebates/discounts for hybrid models. I compared all the websites like TrueCar, Edmunds, Kelley Blue Book, Carjojo, Cars, and Consumer Reports for real-time quotes, but none offered any real deals, other than like only $500 off. I bought my last car through TrueCar in 2012 but their pricing has gone downhill and isn't as competitive as when that company first started. I finally reached out to BuySideAuto (Kim) and she mentioned that the longer I wait and the closer it gets to the holidays, that specific model (color and trim) would likely sell out and I may have to wait for dealerships to re-stock. I jumped on it, filled out some online forms on Thursday afternoon, and after a few calls and emails, Kim somehow secured the deal and I was in my brand new car the next day on Friday at noon! She was very detailed in her responses, kept me up-to-date throughout the entire buying process with the dealership, and was very transparent about the pricing and how they were able to secure a good deal. Chris delivered the car to my work (but you can get it delivered to your home or elsewhere) and just like at the dealership, he went through the car-specific features and walkthroughs, along with signing and explaining the finance paperwork. The advantage of the delivery service is not only for convenience, but so you don't have to sit through any last-minute dealer negotiations (like options, packages, warranty, etc.). Cheers to Kim and Chris for pulling this through in less than 24 hours, and for sure securing a better deal (even after factoring the broker fee) than I would have ever been able to. My experience couldn't have gone any better and is highly recommended.",0.9954,0.016,0.86,0.124,Positive,Buy Side Auto
35,"I've used BuySide twice in the past 4 years, and recommended them to my in-laws last year, and all three experiences were great. I will never go to another dealership again. Chris walked me through all the options and ins-and-outs of leasing vs. buying, and helped me narrow down my choices of what vehicle would be right for me, and then completely delivered. Chris explained everything, answered every question, giving me insight and knowledge so I could make an informed decision. His guidance, and the simple fact that all the paperwork was done ahead of time, and all I had to do was sign, made the car buying/leasing experience simple and painless. Definitely worth the money.",0.9201,0,0.875,0.125,Positive,Buy Side Auto
36,"Like many others, I have gotten only the best service from the Roadster team!Thanks to Kim Hoang for locating my desired vehicle within an hour of me submitting a request on the Roadster website. After that, she kept constant communication with me and made sure I knew exactly what I was getting into, explained all the details on the deal sheet, and made sure I was happy with my purchase. I wanted the car to have a few accessories installed before it's delivered to me, and Roadster did just that! No muss, no fuss.Now I'm a very happy owner of a new Honda Accord Touring V-6. The entire process was less than 5 days. Thank you Kim, Chris (delivered and explained new features of the car, walked me through the paperwork, awesome guy!), and the Roadster team!",0.9747,0.03,0.78,0.19,Positive,Buy Side Auto
37,"The people at Roadster are awesome. What you ask? People? you thought this was an online buying service, didn't you? Well, they are and they aren't. if you have visited a couple of car dealerships and you are sick of talking to salespeople you can enter the car you want online and have it delivered. If you have some questions, and aren't sure if you can get the trim line you want without the extra this and that, they can help with that too. We had figured out what we wanted, but had a couple of short phone conversations to make sure we got what we wanted. A few hours later a deal sheet appeared with a good price. we ok'd and the car was at our door the next afternoon. Chris, who delivered the car stepped us through all the necessary controls and we did the paperwork in less than 15 minutes. Couldn't be happier with Roadster, even if tacos came with the car.",-0.2812,0.068,0.871,0.061,Neutral,Buy Side Auto
38,"Happy to give a very positive feedback to the Roadster team! Lots of thanks to Mark Hugret who provided an amazing customer experience at every step with helping me lease my new Mustang. Hassle free coordination and smooth delivery. I am very picky and the idea of picking up my car online was a new concept, as I like to see ""the goods"" before I purchase. I was in awe when I saw the car! Love it! Thank you once again to Mark who went out of his way to answer every question I had. Thank you Roadster.Sincerely,Marina",0.9853,0,0.712,0.288,Positive,Buy Side Auto
39,"We will never go back to the dealership again! So much easier and straightforward, and feel that you got the best deal possible. Kim helped us out through the whole process and explained things, And she seems to really love her job because she even answered questions from home and in the car. Chris deliver the car and picked up our trade-in at the same time, got a decent price on that too. Good price, no up selling or pressure, friendly people, and get a lot done online at our leisure. All great things for us. New 4runner looks great!Thanks all!",0.9659,0.037,0.77,0.193,Positive,Buy Side Auto
40,Our experience  with Dale at Albany Subaru was 12 on a scale  of 1 to 10..He went above expectations of delivering our car as promised in perfect condition...He was informative thorough and polite showing exemplary customer service.We recommend Albany Subaru to anyone who wants a positive experience. Thankyou!Michael amd Mary Knight..,0.9117,0,0.777,0.223,Positive,Subaru
41,"Go see Don Myers for a no frills, direct, honest and clean transaction with your car. A good friend of mine bought a car from him the week before and said it was pretty seamless. After an annoying experience with the last Subaru dealership, I decided to go directly to Don.Don is a good man. Not your typical overly talkative, bs salesperson. I just didn't want that experience. Who does? This is my first purchase and I had loads of questions. Don was patient and made sure to give me the time I needed. I had done a lot of research beforehand, so I knew I wanted the Crosstrek Premium and they had it in stock. Go see Don. He is your guy.Thanks Don!",0.94,0.047,0.791,0.161,Positive,Subaru
42,"I'm pretty sure most everyone dreads the process of buying a car, no exception here, but let me tell you:1. Buy a Subaru. This is a win and you'll be so happy.2. Buy a Subaru only at Albany Subaru. They will take good care of you and make this a very positive experience.",0.9682,0.052,0.607,0.341,Positive,Subaru
